INDEX,Trial,DrugName,Indications,DrugClass,Approval_FDA,Uniprot,GeneSymbol,Gene,ProteinName,TargetMainClass,TargetClass,Target_Novelty_VALIDATED
NRDD081,-,CARBOPROST TROMETHAMINE,Abortifacient Agents,small molecule,1979,P34995,PE2R1_HUMAN,PTGER1,Prostaglandin E2 receptor EP1 subtype OS=Homo sapiens GN=PTGER1 PE=2 SV=3,Receptors,GPCR;Rhodopsin,Established target
NRDD082,-,CARPHENAZINE,Antipsychotic Agents,small molecule,Approved before 1982,P21728,DRD1_HUMAN,DRD1,D(1A) dopamine receptor OS=Homo sapiens GN=DRD1 PE=1 SV=1,Receptors,GPCR;Rhodopsin,Established target
NRDD082,-,CARPHENAZINE,Antipsychotic Agents,small molecule,Approved before 1982,P14416,DRD2_HUMAN,DRD2,D(2) dopamine receptor OS=Homo sapiens GN=DRD2 PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
NRDD082,-,CARPHENAZINE,Antipsychotic Agents,small molecule,Approved before 1982,P21918,DRD5_HUMAN,DRD5,D(1B) dopamine receptor OS=Homo sapiens GN=DRD5 PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
NRDD083,-,CARPROFEN,"Anti-Inflammatory Agents, Non-Steroidal",small molecule,1987,P35354,PGH2_HUMAN,PTGS2,Prostaglandin G/H synthase 2 OS=Homo sapiens GN=PTGS2 PE=1 SV=2,Enzymes,EC:1.14.99.1,Established target
NRDD084,-,CARTEOLOL,Antiglaucomic Agents,small molecule,1988,P08588,ADRB1_HUMAN,ADRB1,Beta-1 adrenergic receptor OS=Homo sapiens GN=ADRB1 PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
NRDD084,-,CARTEOLOL,Antiglaucomic Agents,small molecule,1988,P07550,ADRB2_HUMAN,ADRB2,Beta-2 adrenergic receptor OS=Homo sapiens GN=ADRB2 PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
NRDD085,-,CERULETIDE,Diagnostic Agents,small molecule,Approved before 1982,P32238,CCKAR_HUMAN,CCKAR,Cholecystokinin receptor type A OS=Homo sapiens GN=CCKAR PE=1 SV=1,Receptors,GPCR;Rhodopsin,Established target
NRDD086,-,CEVIMELINE,Parasympathomimetics,small molecule,2000,P11229,ACM1_HUMAN,CHRM1,Muscarinic acetylcholine receptor M1 OS=Homo sapiens GN=CHRM1 PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
NRDD086,-,CEVIMELINE,Parasympathomimetics,small molecule,2000,P20309,ACM3_HUMAN,CHRM3,Muscarinic acetylcholine receptor M3 OS=Homo sapiens GN=CHRM3 PE=1 SV=1,Receptors,GPCR;Rhodopsin,Established target
NRDD087,-,CHLOPHEDIANOL,Antitussive Agents,small molecule,not approved by the FDA,P35367,HRH1_HUMAN,HRH1,Histamine H1 receptor OS=Homo sapiens GN=HRH1 PE=1 SV=1,Receptors,GPCR;Rhodopsin,Established target
NRDD088,-,CHLORDIAZEPOXIDE,Hypnotics and Sedatives,small molecule,Approved before 1982,P14867,GBRA1_HUMAN,GABRA1,Gamma-aminobutyric acid receptor subunit alpha-1 OS=Homo sapiens GN=GABRA1 PE=1 SV=3,Receptors,TC:1.A.9,Established target
NRDD088,-,CHLORDIAZEPOXIDE,Hypnotics and Sedatives,small molecule,Approved before 1982,P47869,GBRA2_HUMAN,GABRA2,Gamma-aminobutyric acid receptor subunit alpha-2 OS=Homo sapiens GN=GABRA2 PE=2 SV=2,Receptors,TC:1.A.9.5.2,Established target
NRDD088,-,CHLORDIAZEPOXIDE,Hypnotics and Sedatives,small molecule,Approved before 1982,P34903,GBRA3_HUMAN,GABRA3,Gamma-aminobutyric acid receptor subunit alpha-3 OS=Homo sapiens GN=GABRA3 PE=1 SV=1,Receptors,TC:1.A.9,Established target
NRDD088,-,CHLORDIAZEPOXIDE,Hypnotics and Sedatives,small molecule,Approved before 1982,P48169,GBRA4_HUMAN,GABRA4,Gamma-aminobutyric acid receptor subunit alpha-4 OS=Homo sapiens GN=GABRA4 PE=1 SV=2,Receptors,TC:1.A.9,Established target
NRDD088,-,CHLORDIAZEPOXIDE,Hypnotics and Sedatives,small molecule,Approved before 1982,P31644,GBRA5_HUMAN,GABRA5,Gamma-aminobutyric acid receptor subunit alpha-5 OS=Homo sapiens GN=GABRA5 PE=1 SV=1,Receptors,TC:1.A.9,Established target
NRDD088,-,CHLORDIAZEPOXIDE,Hypnotics and Sedatives,small molecule,Approved before 1982,Q16445,GBRA6_HUMAN,GABRA6,Gamma-aminobutyric acid receptor subunit alpha-6 OS=Homo sapiens GN=GABRA6 PE=2 SV=2,Receptors,TC:1.A.9,Established target
NRDD088,-,CHLORDIAZEPOXIDE,Hypnotics and Sedatives,small molecule,Approved before 1982,P18505,GBRB1_HUMAN,GABRB1,Gamma-aminobutyric acid receptor subunit beta-1 OS=Homo sapiens GN=GABRB1 PE=1 SV=2,Receptors,TC:1.A.9,Established target
NRDD088,-,CHLORDIAZEPOXIDE,Hypnotics and Sedatives,small molecule,Approved before 1982,P47870,GBRB2_HUMAN,GABRB2,Gamma-aminobutyric acid receptor subunit beta-2 OS=Homo sapiens GN=GABRB2 PE=1 SV=1,Receptors,TC:1.A.9.5.2,Established target
NRDD088,-,CHLORDIAZEPOXIDE,Hypnotics and Sedatives,small molecule,Approved before 1982,P28472,GBRB3_HUMAN,GABRB3,Gamma-aminobutyric acid receptor subunit beta-3 OS=Homo sapiens GN=GABRB3 PE=1 SV=1,Receptors,TC:1.A.9,Established target
NRDD088,-,CHLORDIAZEPOXIDE,Hypnotics and Sedatives,small molecule,Approved before 1982,O14764,GBRD_HUMAN,GABRD,Gamma-aminobutyric acid receptor subunit delta (GABA(A) receptor subunit delta),Receptors,TC:1.A.9,Established target
NRDD088,-,CHLORDIAZEPOXIDE,Hypnotics and Sedatives,small molecule,Approved before 1982,P78334,GBRE_HUMAN,GABRE,Gamma-aminobutyric acid receptor subunit epsilon (GABA(A) receptor subunit epsilon),Receptors,TC:1.A.9,Established target
NRDD088,-,CHLORDIAZEPOXIDE,Hypnotics and Sedatives,small molecule,Approved before 1982,Q8N1C3,GBRG1_HUMAN,GABRG1,Gamma-aminobutyric acid receptor subunit gamma-1 (GABA(A) receptor subunit gamma-1),Receptors,TC:1.A.9,Established target
NRDD088,-,CHLORDIAZEPOXIDE,Hypnotics and Sedatives,small molecule,Approved before 1982,P18507,GBRG2_HUMAN,GABRG2,Gamma-aminobutyric acid receptor subunit gamma-2 (GABA(A) receptor subunit gamma-2),Receptors,TC:1.A.9,Established target
NRDD088,-,CHLORDIAZEPOXIDE,Hypnotics and Sedatives,small molecule,Approved before 1982,Q99928,GBRG3_HUMAN,GABRG3,Gamma-aminobutyric acid receptor subunit gamma-3 (GABA(A) receptor subunit gamma-3),Receptors,TC:1.A.9,Established target
NRDD088,-,CHLORDIAZEPOXIDE,Hypnotics and Sedatives,small molecule,Approved before 1982,O00591,GBRP_HUMAN,GABRP,Gamma-aminobutyric acid receptor subunit pi (GABA(A) receptor subunit pi),Receptors,TC:1.A.9,Established target
NRDD088,-,CHLORDIAZEPOXIDE,Hypnotics and Sedatives,small molecule,Approved before 1982,Q9UN88,GBRT_HUMAN,GABRQ,Gamma-aminobutyric acid receptor subunit theta (GABA(A) receptor subunit theta),Receptors,TC:1.A.9,Established target
NRDD088,-,CHLORDIAZEPOXIDE,Hypnotics and Sedatives,small molecule,Approved before 1982,P24046,GBRR1_HUMAN,GABRR1,Gamma-aminobutyric acid receptor subunit rho-1 (GABA(A) receptor subunit rho-1) (GABA(C) receptor),Receptors,TC:1.A.9,Established target
NRDD088,-,CHLORDIAZEPOXIDE,Hypnotics and Sedatives,small molecule,Approved before 1982,P28476,GBRR2_HUMAN,GABRR2,Gamma-aminobutyric acid receptor subunit rho-2 (GABA(A) receptor subunit rho-2) (GABA(C) receptor),Receptors,TC:1.A.9,Established target
NRDD088,-,CHLORDIAZEPOXIDE,Hypnotics and Sedatives,small molecule,Approved before 1982,A8MPY1,GBRR3_HUMAN,GABRR3,Gamma-aminobutyric acid receptor subunit rho-3 (GABA(A) receptor subunit rho-3) (GABA(C) receptor),Receptors,TC:1.A.9,Established target
NRDD089,-,CHLORMERODRIN,Antihypertensive Agents; Diuretics,small molecule,Approved before 1982,Q13621,S12A1_HUMAN,SLC12A1,Solute carrier family 12 member 1 OS=Homo sapiens GN=SLC12A1 PE=1 SV=2,Transporters,TC:2.A.30.1.2,Established target
NRDD090,-,CHLORMEZANONE,Anti-anxiety Agents; Muscle Relaxants,small molecule,1960,P30536,TSPOA_HUMAN,BZRP,Translocator protein OS=Homo sapiens GN=TSPO PE=1 SV=2,Transporters,"Miscellaneous; benzodiazepine translocator protein,",Established target
NRDD091,-,CHLOROPROCAINE,"Anesthetics, Local",small molecule,1955,Q9Y5Y9,SCNAA_HUMAN,SCN10A,Sodium channel protein type 10 subunit alpha OS=Homo sapiens GN=SCN10A PE=1 SV=2,Transporters,TC:1.A.1.10,Established target
NRDD092,-,CHLOROTHIAZIDE,Antihypertensive Agents; Diuretics,small molecule,Approved before 1982,P00915,CAH1_HUMAN,CA1,Carbonic anhydrase 1 OS=Homo sapiens GN=CA1 PE=1 SV=2,Enzymes,EC:4.2.1.1,Established target
NRDD092,-,CHLOROTHIAZIDE,Antihypertensive Agents; Diuretics,small molecule,Approved before 1982,P00918,CAH2_HUMAN,CA2,Carbonic anhydrase 2 OS=Homo sapiens GN=CA2 PE=1 SV=2,Enzymes,EC:4.2.1.1,Established target
NRDD092,-,CHLOROTHIAZIDE,Antihypertensive Agents; Diuretics,small molecule,Approved before 1982,P22748,CAH4_HUMAN,CA4,Carbonic anhydrase 4 OS=Homo sapiens GN=CA4 PE=1 SV=2,Enzymes,EC:4.2.1,Established target
NRDD092,-,CHLOROTHIAZIDE,Antihypertensive Agents; Diuretics,small molecule,Approved before 1982,P55017,S12A3_HUMAN,SLC12A3,Solute carrier family 12 member 3 OS=Homo sapiens GN=SLC12A3 PE=1 SV=2,Transporters,TC:2.A.30.4.2,Established target
NRDD093,-,CHLOROTRIANISENE,Hormone Replacement Agents,small molecule,Approved before 1982,P03372,ESR1_HUMAN,ESR1,Estrogen receptor OS=Homo sapiens GN=ESR1 PE=1 SV=2,Receptors,Nuclear receptor,Established target
NRDD094,-,CHLORPHENIRAMINE,Anti-Allergic Agents,small molecule,Approved before 1982,P35367,HRH1_HUMAN,HRH1,Histamine H1 receptor OS=Homo sapiens GN=HRH1 PE=1 SV=1,Receptors,GPCR;Rhodopsin,Established target
NRDD095,-,CHLORPROPAMIDE,Hypoglycemic Agents,small molecule,1958,P48048,IRK1_HUMAN,KCNJ1,ATP-sensitive inward rectifier potassium channel 1 OS=Homo sapiens GN=KCNJ1 PE=1 SV=1,Transporters,TC:1.A.2.1.1,Established target
NRDD096,-,CHLORPROTHIXENE,Antipsychotic Agents,small molecule,Approved before 1982,P21728,DRD1_HUMAN,DRD1,D(1A) dopamine receptor OS=Homo sapiens GN=DRD1 PE=1 SV=1,Receptors,GPCR;Rhodopsin,Established target
NRDD096,-,CHLORPROTHIXENE,Antipsychotic Agents,small molecule,Approved before 1982,P14416,DRD2_HUMAN,DRD2,D(2) dopamine receptor OS=Homo sapiens GN=DRD2 PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
NRDD096,-,CHLORPROTHIXENE,Antipsychotic Agents,small molecule,Approved before 1982,P35462,DRD3_HUMAN,DRD3,D(3) dopamine receptor OS=Homo sapiens GN=DRD3 PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
NRDD096,-,CHLORPROTHIXENE,Antipsychotic Agents,small molecule,Approved before 1982,P35367,HRH1_HUMAN,HRH1,Histamine H1 receptor OS=Homo sapiens GN=HRH1 PE=1 SV=1,Receptors,GPCR;Rhodopsin,Established target
NRDD096,-,CHLORPROTHIXENE,Antipsychotic Agents,small molecule,Approved before 1982,P28223,5HT2A_HUMAN,HTR2A,5-hydroxytryptamine receptor 2A OS=Homo sapiens GN=HTR2A PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
NRDD096,-,CHLORPROTHIXENE,Antipsychotic Agents,small molecule,Approved before 1982,P41595,5HT2B_HUMAN,HTR2B,5-hydroxytryptamine receptor 2B OS=Homo sapiens GN=HTR2B PE=1 SV=1,Receptors,GPCR;Rhodopsin,Established target
NRDD096,-,CHLORPROTHIXENE,Antipsychotic Agents,small molecule,Approved before 1982,P28335,5HT2C_HUMAN,HTR2C,5-hydroxytryptamine receptor 2C OS=Homo sapiens GN=HTR2C PE=1 SV=1,Receptors,GPCR;Rhodopsin,Established target
NRDD097,-,CHLORTHALIDONE,Antihypertensive Agents; Diuretics,small molecule,1960,Q13621,S12A1_HUMAN,SLC12A1,Solute carrier family 12 member 1 OS=Homo sapiens GN=SLC12A1 PE=1 SV=2,Transporters,TC:2.A.30.1.2,Established target
NRDD098,-,CHLORZOXAZONE,Muscle Relaxants,small molecule,Approved before 1982,Q12791,KCMA1_HUMAN,KCNMA1,Calcium-activated potassium channel subunit alpha-1 OS=Homo sapiens GN=KCNMA1 PE=1 SV=2,Transporters,TC:1.A.1.3,Established target
NRDD099,-,CHORIOGONADOTROPIN ALFA,Fertility Agents,protein,2000,P23945,FSHR_HUMAN,FSHR,Follicle-stimulating hormone receptor OS=Homo sapiens GN=FSHR PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
NRDD099,-,CHORIOGONADOTROPIN ALFA,Fertility Agents,protein,2000,P22888,LSHR_HUMAN,LHCGR,Lutropin-choriogonadotropic hormone receptor OS=Homo sapiens GN=LHCGR PE=1 SV=3,Receptors,GPCR;Rhodopsin,Established target
NRDD100,-,CICLESONIDE,Anti-Inflammatory Agents; Anti-allergic agents; Glucocorticoids,small molecule,2006,P04150,GCR_HUMAN,NR3C1,Glucocorticoid receptor OS=Homo sapiens GN=NR3C1 PE=1 SV=1,Receptors,Nuclear receptor,Established target
NRDD101,-,CILASTATIN,"Adjuvants, enzyme inhibitors",small molecule,1985,P16444,DPEP1_HUMAN,DPEP1,Dipeptidase 1 OS=Homo sapiens GN=DPEP1 PE=1 SV=3,Enzymes,EC:3.4.13,Established target
NRDD102,-,CILAZAPRIL,Antihypertensive Agents,small molecule,not approved by the FDA,P12821,ACE_HUMAN,ACE,Angiotensin-converting enzyme,Other,EC:3.4.15,Established target
NRDD103,-,CILOSTAZOL,Platelet Aggregation Inhibitors,small molecule,1999,Q14432,PDE3A_HUMAN,PDE3A,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A OS=Homo sapiens GN=PDE3A PE=1 SV=3",Enzymes,EC:3.1.4.17,Established target
NRDD104,-,CIMETIDINE,"GI Anti-Ulcer Agents, antihistamines",small molecule,1979,P25021,HRH2_HUMAN,HRH2,Histamine H2 receptor OS=Homo sapiens GN=HRH2 PE=2 SV=1,Receptors,GPCR;Rhodopsin,Established target
NRDD105,-,CINACALCET,Calcimimetics,small molecule,2004,P41180,CASR_HUMAN,CASR,Extracellular calcium-sensing receptor OS=Homo sapiens GN=CASR PE=1 SV=2,Receptors,GPCR;Glutamate,Established target
NRDD106,-,CINALUKAST,Anti-Asthmatic Agents,small molecule,not approved by the FDA,Q9Y271,CLTR1_HUMAN,CYSLTR1,Cysteinyl leukotriene receptor 1 OS=Homo sapiens GN=CYSLTR1 PE=2 SV=1,Receptors,GPCR;Rhodopsin,Established target
NRDD107,-,CINNARIZINE,Anti-Allergic Agents,small molecule,not approved by the FDA,P35367,HRH1_HUMAN,HRH1,Histamine H1 receptor OS=Homo sapiens GN=HRH1 PE=1 SV=1,Receptors,GPCR;Rhodopsin,Established target
NRDD108,-,CINOLAZEPAM,Hypnotics and Sedatives,small molecule,not approved by the FDA,P14867,GBRA1_HUMAN,GABRA1,Gamma-aminobutyric acid receptor subunit alpha-1 OS=Homo sapiens GN=GABRA1 PE=1 SV=3,Receptors,TC:1.A.9,Established target
NRDD108,-,CINOLAZEPAM,Hypnotics and Sedatives,small molecule,not approved by the FDA,P47869,GBRA2_HUMAN,GABRA2,Gamma-aminobutyric acid receptor subunit alpha-2 OS=Homo sapiens GN=GABRA2 PE=2 SV=2,Receptors,TC:1.A.9.5.2,Established target
NRDD108,-,CINOLAZEPAM,Hypnotics and Sedatives,small molecule,not approved by the FDA,P34903,GBRA3_HUMAN,GABRA3,Gamma-aminobutyric acid receptor subunit alpha-3 OS=Homo sapiens GN=GABRA3 PE=1 SV=1,Receptors,TC:1.A.9,Established target
NRDD108,-,CINOLAZEPAM,Hypnotics and Sedatives,small molecule,not approved by the FDA,P31644,GBRA5_HUMAN,GABRA5,Gamma-aminobutyric acid receptor subunit alpha-5 OS=Homo sapiens GN=GABRA5 PE=1 SV=1,Receptors,TC:1.A.9,Established target
NRDD108,-,CINOLAZEPAM,Hypnotics and Sedatives,small molecule,not approved by the FDA,P18505,GBRB1_HUMAN,GABRB1,Gamma-aminobutyric acid receptor subunit beta-1 OS=Homo sapiens GN=GABRB1 PE=1 SV=2,Receptors,TC:1.A.9,Established target
NRDD108,-,CINOLAZEPAM,Hypnotics and Sedatives,small molecule,not approved by the FDA,P47870,GBRB2_HUMAN,GABRB2,Gamma-aminobutyric acid receptor subunit beta-2 OS=Homo sapiens GN=GABRB2 PE=1 SV=1,Receptors,TC:1.A.9.5.2,Established target
NRDD108,-,CINOLAZEPAM,Hypnotics and Sedatives,small molecule,not approved by the FDA,P28472,GBRB3_HUMAN,GABRB3,Gamma-aminobutyric acid receptor subunit beta-3 OS=Homo sapiens GN=GABRB3 PE=1 SV=1,Receptors,TC:1.A.9,Established target
NRDD108,-,CINOLAZEPAM,Hypnotics and Sedatives,small molecule,not approved by the FDA,O14764,GBRD_HUMAN,GABRD,Gamma-aminobutyric acid receptor subunit delta (GABA(A) receptor subunit delta),Receptors,TC:1.A.9,Established target
NRDD108,-,CINOLAZEPAM,Hypnotics and Sedatives,small molecule,not approved by the FDA,P78334,GBRE_HUMAN,GABRE,Gamma-aminobutyric acid receptor subunit epsilon (GABA(A) receptor subunit epsilon),Receptors,TC:1.A.9,Established target
NRDD108,-,CINOLAZEPAM,Hypnotics and Sedatives,small molecule,not approved by the FDA,Q8N1C3,GBRG1_HUMAN,GABRG1,Gamma-aminobutyric acid receptor subunit gamma-1 (GABA(A) receptor subunit gamma-1),Receptors,TC:1.A.9,Established target
NRDD108,-,CINOLAZEPAM,Hypnotics and Sedatives,small molecule,not approved by the FDA,P18507,GBRG2_HUMAN,GABRG2,Gamma-aminobutyric acid receptor subunit gamma-2 (GABA(A) receptor subunit gamma-2),Receptors,TC:1.A.9,Established target
NRDD108,-,CINOLAZEPAM,Hypnotics and Sedatives,small molecule,not approved by the FDA,Q99928,GBRG3_HUMAN,GABRG3,Gamma-aminobutyric acid receptor subunit gamma-3 (GABA(A) receptor subunit gamma-3),Receptors,TC:1.A.9,Established target
NRDD108,-,CINOLAZEPAM,Hypnotics and Sedatives,small molecule,not approved by the FDA,O00591,GBRP_HUMAN,GABRP,Gamma-aminobutyric acid receptor subunit pi (GABA(A) receptor subunit pi),Receptors,TC:1.A.9,Established target
NRDD108,-,CINOLAZEPAM,Hypnotics and Sedatives,small molecule,not approved by the FDA,P24046,GBRR1_HUMAN,GABRR1,Gamma-aminobutyric acid receptor subunit rho-1 (GABA(A) receptor subunit rho-1) (GABA(C) receptor),Receptors,TC:1.A.9,Established target
NRDD108,-,CINOLAZEPAM,Hypnotics and Sedatives,small molecule,not approved by the FDA,P28476,GBRR2_HUMAN,GABRR2,Gamma-aminobutyric acid receptor subunit rho-2 (GABA(A) receptor subunit rho-2) (GABA(C) receptor),Receptors,TC:1.A.9,Established target
NRDD108,-,CINOLAZEPAM,Hypnotics and Sedatives,small molecule,not approved by the FDA,A8MPY1,GBRR3_HUMAN,GABRR3,Gamma-aminobutyric acid receptor subunit rho-3 (GABA(A) receptor subunit rho-3) (GABA(C) receptor),Receptors,TC:1.A.9,Established target
NRDD109,-,CISAPRIDE,Parasympathomimetics,small molecule,1993,Q13639,5HT4R_HUMAN,HTR4,5-hydroxytryptamine receptor 4 OS=Homo sapiens GN=HTR4 PE=2 SV=2,Receptors,GPCR;Rhodopsin,Established target
NRDD110,-,CISATRACURIUM BESYLATE,Neuromuscular Blocking Agents,small molecule,1995,Q15822,ACHA2_HUMAN,CHRNA2,Neuronal acetylcholine receptor subunit alpha-2 OS=Homo sapiens GN=CHRNA2 PE=1 SV=1,Receptors,TC:1.A.9,Established target
NRDD111,-,CITALOPRAM,"Antidepressive Agents, Second-Generation",small molecule,1998,P31645,SC6A4_HUMAN,SLC6A4,Sodium-dependent serotonin transporter OS=Homo sapiens GN=SLC6A4 PE=1 SV=1,Transporters,TC:2.A.22.1.1,Established target
NRDD112,-,CLEMASTINE,Anti-Allergic Agents,small molecule,1977,P35367,HRH1_HUMAN,HRH1,Histamine H1 receptor OS=Homo sapiens GN=HRH1 PE=1 SV=1,Receptors,GPCR;Rhodopsin,Established target
NRDD113,-,CLENBUTEROL,Bronchodilator Agents,small molecule,not approved by the FDA,P07550,ADRB2_HUMAN,ADRB2,Beta-2 adrenergic receptor OS=Homo sapiens GN=ADRB2 PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
NRDD114,-,CLIDINIUM,"GI Anti-Ulcer Agents, anticholinergic; Antispasmodics",small molecule,Approved before 1982,P11229,ACM1_HUMAN,CHRM1,Muscarinic acetylcholine receptor M1 OS=Homo sapiens GN=CHRM1 PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
NRDD115,-,CLOCORTOLONE,"Anti-Inflammatory Agents; Anti-pruritics; Corticosteroids, topical",small molecule,1977,P04150,GCR_HUMAN,NR3C1,Glucocorticoid receptor,Receptors,Nuclear receptor,Established target
NRDD116,-,CLOFIBRATE,Anticholesteremic Agents,small molecule,1967,Q07869,PPARA_HUMAN,PPARA,Peroxisome proliferator-activated receptor alpha OS=Homo sapiens GN=PPARA PE=1 SV=2,Receptors,Nuclear receptor,Established target
NRDD117,-,CLOMIPRAMINE,"Antidepressive Agents, Tricyclic",small molecule,1989,P23975,SC6A2_HUMAN,SLC6A2,Sodium-dependent noradrenaline transporter OS=Homo sapiens GN=SLC6A2 PE=1 SV=1,Transporters,TC:2.A.22.1.2,Established target
NRDD117,-,CLOMIPRAMINE,"Antidepressive Agents, Tricyclic",small molecule,1989,P31645,SC6A4_HUMAN,SLC6A4,Sodium-dependent serotonin transporter OS=Homo sapiens GN=SLC6A4 PE=1 SV=1,Transporters,TC:2.A.22.1.1,Established target
NRDD118,-,CLORAZEPATE,Hypnotics and Sedatives,small molecule,1972,P30536,TSPOA_HUMAN,BZRP,Translocator protein OS=Homo sapiens GN=TSPO PE=1 SV=2,Transporters,"Miscellaneous; benzodiazepine translocator protein,",Established target
NRDD118,-,CLORAZEPATE,Hypnotics and Sedatives,small molecule,1972,P14867,GBRA1_HUMAN,GABRA1,Gamma-aminobutyric acid receptor subunit alpha-1 OS=Homo sapiens GN=GABRA1 PE=1 SV=3,Receptors,TC:1.A.9,Established target
NRDD118,-,CLORAZEPATE,Hypnotics and Sedatives,small molecule,1972,P47869,GBRA2_HUMAN,GABRA2,Gamma-aminobutyric acid receptor subunit alpha-2 OS=Homo sapiens GN=GABRA2 PE=2 SV=2,Receptors,TC:1.A.9.5.2,Established target
NRDD118,-,CLORAZEPATE,Hypnotics and Sedatives,small molecule,1972,P34903,GBRA3_HUMAN,GABRA3,Gamma-aminobutyric acid receptor subunit alpha-3 OS=Homo sapiens GN=GABRA3 PE=1 SV=1,Receptors,TC:1.A.9,Established target
NRDD118,-,CLORAZEPATE,Hypnotics and Sedatives,small molecule,1972,P48169,GBRA4_HUMAN,GABRA4,Gamma-aminobutyric acid receptor subunit alpha-4 OS=Homo sapiens GN=GABRA4 PE=1 SV=2,Receptors,TC:1.A.9,Established target
NRDD118,-,CLORAZEPATE,Hypnotics and Sedatives,small molecule,1972,P31644,GBRA5_HUMAN,GABRA5,Gamma-aminobutyric acid receptor subunit alpha-5 OS=Homo sapiens GN=GABRA5 PE=1 SV=1,Receptors,TC:1.A.9,Established target
NRDD118,-,CLORAZEPATE,Hypnotics and Sedatives,small molecule,1972,Q16445,GBRA6_HUMAN,GABRA6,Gamma-aminobutyric acid receptor subunit alpha-6 OS=Homo sapiens GN=GABRA6 PE=2 SV=2,Receptors,TC:1.A.9,Established target
NRDD118,-,CLORAZEPATE,Hypnotics and Sedatives,small molecule,1972,P18505,GBRB1_HUMAN,GABRB1,Gamma-aminobutyric acid receptor subunit beta-1 OS=Homo sapiens GN=GABRB1 PE=1 SV=2,Receptors,TC:1.A.9,Established target
NRDD118,-,CLORAZEPATE,Hypnotics and Sedatives,small molecule,1972,P47870,GBRB2_HUMAN,GABRB2,Gamma-aminobutyric acid receptor subunit beta-2 OS=Homo sapiens GN=GABRB2 PE=1 SV=1,Receptors,TC:1.A.9.5.2,Established target
NRDD118,-,CLORAZEPATE,Hypnotics and Sedatives,small molecule,1972,P28472,GBRB3_HUMAN,GABRB3,Gamma-aminobutyric acid receptor subunit beta-3 OS=Homo sapiens GN=GABRB3 PE=1 SV=1,Receptors,TC:1.A.9,Established target
NRDD118,-,CLORAZEPATE,Hypnotics and Sedatives,small molecule,1972,O14764,GBRD_HUMAN,GABRD,Gamma-aminobutyric acid receptor subunit delta (GABA(A) receptor subunit delta),Receptors,TC:1.A.9,Established target
NRDD118,-,CLORAZEPATE,Hypnotics and Sedatives,small molecule,1972,P78334,GBRE_HUMAN,GABRE,Gamma-aminobutyric acid receptor subunit epsilon (GABA(A) receptor subunit epsilon),Receptors,TC:1.A.9,Established target
NRDD118,-,CLORAZEPATE,Hypnotics and Sedatives,small molecule,1972,Q8N1C3,GBRG1_HUMAN,GABRG1,Gamma-aminobutyric acid receptor subunit gamma-1 (GABA(A) receptor subunit gamma-1),Receptors,TC:1.A.9,Established target
NRDD118,-,CLORAZEPATE,Hypnotics and Sedatives,small molecule,1972,P18507,GBRG2_HUMAN,GABRG2,Gamma-aminobutyric acid receptor subunit gamma-2 (GABA(A) receptor subunit gamma-2),Receptors,TC:1.A.9,Established target
NRDD118,-,CLORAZEPATE,Hypnotics and Sedatives,small molecule,1972,Q99928,GBRG3_HUMAN,GABRG3,Gamma-aminobutyric acid receptor subunit gamma-3 (GABA(A) receptor subunit gamma-3),Receptors,TC:1.A.9,Established target
NRDD118,-,CLORAZEPATE,Hypnotics and Sedatives,small molecule,1972,O00591,GBRP_HUMAN,GABRP,Gamma-aminobutyric acid receptor subunit pi (GABA(A) receptor subunit pi),Receptors,TC:1.A.9,Established target
NRDD118,-,CLORAZEPATE,Hypnotics and Sedatives,small molecule,1972,Q9UN88,GBRT_HUMAN,GABRQ,Gamma-aminobutyric acid receptor subunit theta (GABA(A) receptor subunit theta),Receptors,TC:1.A.9,Established target
NRDD118,-,CLORAZEPATE,Hypnotics and Sedatives,small molecule,1972,P24046,GBRR1_HUMAN,GABRR1,Gamma-aminobutyric acid receptor subunit rho-1 (GABA(A) receptor subunit rho-1) (GABA(C) receptor),Receptors,TC:1.A.9,Established target
NRDD118,-,CLORAZEPATE,Hypnotics and Sedatives,small molecule,1972,P28476,GBRR2_HUMAN,GABRR2,Gamma-aminobutyric acid receptor subunit rho-2 (GABA(A) receptor subunit rho-2) (GABA(C) receptor),Receptors,TC:1.A.9,Established target
NRDD118,-,CLORAZEPATE,Hypnotics and Sedatives,small molecule,1972,A8MPY1,GBRR3_HUMAN,GABRR3,Gamma-aminobutyric acid receptor subunit rho-3 (GABA(A) receptor subunit rho-3) (GABA(C) receptor),Receptors,TC:1.A.9,Established target
