GeneCard,Gene Name,Locus,Disorders
,,,
SSX4,"synovial sarcoma, X breakpoint 4 ",Xp11.2,
,,,"Sarcoma, synovial"
,,,
SSX7,"synovial sarcoma, X breakpoint 7 ",?,
,,,mutations
,,,
ST11,suppression of tumorigenicity 11 (pancreas) ,3p25,
,,,Pancreatic endocrine tumors
,,,
ST14,suppression of tumorigenicity 14 (colon carcinoma) ,11q24-q25,
,,,Ichthyosis with hypotrichosis [MIM:610765]
,,,
ST2,suppression of tumorigenicity 2 ,11p14.3-p12,
,,,mutations
,,,
ST3GAL3,"ST3 beta-galactoside alpha-2,3-sialyltransferase 3 ",1p34.1,
,,,mutations
,,,
ST3GAL5,"ST3 beta-galactoside alpha-2,3-sialyltransferase 5 ",2p11.2,
,,,Amish infantile epilepsy syndrome [MIM:609056]
,,,
ST3,suppression of tumorigenicity 3 ,11q13,
,,,Cervical carcinoma
,,,
ST5,suppression of tumorigenicity 5 ,11p15,
,,,mutations
,,,
ST8SIA2,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2 ",15q26,
,,,mutations
,,,
ST8,suppression of tumorigenicity 8 (ovarian) ,6q26-q27,
,,,"Ovarian cancer, serous"
,,,
STAR,steroidogenic acute regulatory protein ,8p11.2,
,,,Lipoid adrenal hyperplasia [MIM:201710]
,,,
STAT1,"signal transducer and activator of transcription 1, 91kDa ",2q32.2-q32.3,
,,,"Mycobacterial infection, atypical, familial disseminated [MIM:209950]"
,,,"STAT1 deficiency, complete"
,,,
STAT3,signal transducer and activator of transcription 3 (acute-phase response factor) ,17q21,
,,,Hyper-IgE recurrent infection syndrome [MIM:147060]
,,,
STAT4,signal transducer and activator of transcription 4 ,2q32.2-q32.3,
,,,"Rheumatoid arthritis, association with [MIM:180300]"
,,,"Systemic lupus erythematous, association with susceptibility to, 11 [MIM:612253]"
,,,
STAT5B,signal transducer and activator of transcription 5B ,17q11.2,
,,,"Leukemia, acute promyelocytic, STAT5B/RARA type"
,,,Growth hormone insensitivity with immunodeficiency [MIM:245590]
,,,
STAT6,"signal transducer and activator of transcription 6, interleukin-4 induced ",12q13,
,,,mutations
,,,
STBMS1,"Strabismus, susceptibility to, 1 ",7p22.1,
,,,"Strabismus, susceptibility to, 1"
,,,
STEAP3,"STEAP family member 3, metalloreductase ",2q14.2,
,,,mutations
,,,
STEAP4,STEAP family member 4 ,7q21,
,,,mutations
,,,
STHAG5,"tooth agenesis, selective, 5 ",10q11.2-q21,
,,,"Tooth agenesis, selective, 5"
,,,
STH,saitohin ,17q21.1,
,,,mutations
,,,
STIL,SCL/TAL1 interrupting locus ,1p32,
,,,"Microcephaly, primary autosomal recessive, 7 [MIM:612703]"
,,,
STIM1,stromal interaction molecule 1 ,11p15.5,
,,,"Immune dysfunction, with T-cell inactivation due to calcium entry defect 2 [MIM:612783]"
,,,
STK10,serine/threonine kinase 10 ,5q35.1,
,,,mutations
,,,
STK11,serine/threonine kinase 11 ,19p13.3,
,,,Peutz-Jeghers syndrome [MIM:175200]
,,,"Melanoma, malignant sporadic"
,,,"Pancreatic cancer, sporadic"
,,,"Testicular tumor, sporadic [MIM:273300]"
,,,
STK19,serine/threonine kinase 19 ,6p21.3,
,,,mutations
,,,
STK32A,serine/threonine kinase 32A ,?,
,,,mutations
,,,
STK33,serine/threonine kinase 33 ,11p15.3,
,,,mutations
,,,
STK39,serine threonine kinase 39 ,2q24.3,
,,,mutations
,,,
STK4,serine/threonine kinase 4 ,20q11.2-q13.2,
,,,mutations
,,,
STMN1,stathmin 1 ,1p36.1-p35,
,,,mutations
,,,
STOM,stomatin ,9q34.1,
,,,Stomatocytosis I [MIM:185000]
,,,
STOX1,storkhead box 1 ,10q22.1,
,,,Preeclampsia/eclampsia 4
,,,
STQTL10,Stature QTL 10 ,3q23,
,,,Stature QTL 10
,,,
STQTL11,Stature QTL 11 ,7q21,
,,,Stature QTL 11
,,,
STQTL12,Stature QTL 12 ,4q31,
,,,Stature QTL 12
,,,
STQTL13,Stature QTL 13 ,4p15.3,
,,,Stature QTL 13
,,,
STQTL14,Stature QTL 14 ,20q11.22,
,,,Stature QTL 14
,,,
STQTL15,Stature QTL 15 ,8q21.13,
,,,Stature QTL 15
,,,
STQTL16,Stature QTL 16 ,15q22.32,
,,,Stature QTL 16
,,,
STQTL17,Stature QTL 17 ,7p15,
,,,Stature QTL 17
,,,
STQTL18,Stature QTL 18 ,6p22.1,
,,,Stature QTL 18
,,,
STQTL19,Stature QTL 19 ,6p21.31,
,,,Stature QTL 19
,,,
STQTL20,Stature QTL 20 ,13q14.3,
,,,Stature QTL 20
,,,
STQTL21,Stature QTL 21 ,2q37.1,
,,,Stature QTL 21
,,,
STQTL22,Stature QTL 22 ,16q24,
,,,Stature QTL 22
,,,
STQTL23,Stature QTL 23 ,1p32,
,,,Stature QTL 23
,,,
STQTL24,Stature QTL 24 ,2p16,
,,,Stature QTL 24
,,,
STQTL2,stature quantitative trait locus 2 ,7q31.3,
,,,Stature QTL 2
,,,
STQTL3,stature quantitative trait locus 3 ,12p11.2-q14,
,,,Stature QTL 3
,,,
STQTL4,stature quantitative trait locus 4 ,13q32-q33,
,,,Stature QTL 4
,,,
STQTL5,stature quantitative trait locus 5 ,3p26,
,,,Stature QTL 5
,,,
STQTL6,stature quantitative trait locus 6 ,Xq24-q25,
,,,Stature QTL 6
,,,
STQTL7,stature quantitative trait locus 7 ,1p21,
,,,Stature QTL 7
,,,
STQTL8,stature quantitative trait locus 8 ,9q22,
,,,Stature QTL 8
,,,
STRA6,stimulated by retinoic acid gene 6 homolog (mouse) ,15q24.1,
,,,"Microphthalmia, syndromic 9 [MIM:601186]"
,,,
STRADA,STE20-related kinase adaptor alpha ,17q23.3,
,,,"Polyhydramnios, megalencephaly, and symptomatic epilepsy [MIM:611087]"
,,,
STRC,stereocilin ,15q15,
,,,"Deafness, autosomal recessive 16 [MIM:603720]"
,,,
STS,"steroid sulfatase (microsomal), isozyme S ",Xp22.32,
,,,"Ichthyosis, X-linked [MIM:308100]"
,,,
STUT1,"Stuttering, familial persistent 1 ",18p11.3-p11.2,
,,,"Stuttering, familial persistent 1"
,,,
STUT2,"Stuttering, familial persistent 2 ",12q24.1,
,,,"Stuttering, familial persistent 2"
,,,
STX11,syntaxin 11 ,6q24,
,,,"Hemophagocytic lymphohistiocytosis, familial, 4 [MIM:603552]"
,,,
STX16,syntaxin 16 ,20q13.32,
,,,"Pseudohypoparathyroidism, type IB [MIM:603233]"
,,,
STX1A,syntaxin 1A (brain) ,7q11.2,
,,,mutations
,,,
STXBP1,syntaxin binding protein 1 ,9q34.1,
,,,"Epileptic encephalopathy, early infantile, 4 [MIM:612164]"
,,,
STXBP2,syntaxin binding protein 2 ,19p13.3-p13.2,
,,,"Hemophagocytic lymphohistiocytosis, familial, 5"
,,,
STXBP5,syntaxin binding protein 5 (tomosyn) ,6q24.3,
,,,mutations
,,,
SUCLA2,"succinate-CoA ligase, ADP-forming, beta subunit ",13q12.2-q13,
,,,Mitochondrial DNA depletion syndrome 5 (encephalomyopathic with methylmalonic aciduria) [MIM:612073]
,,,
SUCLG1,"succinate-CoA ligase, alpha subunit ",2p11.2,
,,,Mitochondrial DNA depletion syndrome 9 (encephalomyopathic type with methylmalonic aciduria) [MIM:245400]
,,,
SUFU,suppressor of fused homolog (Drosophila) ,10q24-q25,
,,,"Medulloblastoma, desmoplastic [MIM:155255]"
,,,
SULF1,sulfatase 1 ,8q13.3,
,,,mutations
,,,
SULT1A1,"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1 ",16p12.1-p11.2,
,,,mutations
,,,
SULT1A3,"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 3 ",16p11.2,
,,,mutations
,,,
SULT1C2,"sulfotransferase family, cytosolic, 1C, member 2 ",2q11.1-q11.2,
,,,mutations
,,,
SULT1E1,"sulfotransferase family 1E, estrogen-preferring, member 1 ",4q13.1,
,,,mutations
,,,
SULT2A1,"sulfotransferase family, cytosolic, 2A, dehydroepiandrosterone (DHEA)-preferring, member 1 ",19q13.3,
,,,mutations
,,,
SULT2B1,"sulfotransferase family, cytosolic, 2B, member 1 ",19q13.3,
,,,mutations
,,,
SULT4A1,"sulfotransferase family 4A, member 1 ",22q13.2-q13.31,
,,,mutations
,,,
SUMF1,sulfatase modifying factor 1 ,3p26,
,,,Multiple sulfatase deficiency [MIM:272200]
,,,
SUMO1,SMT3 suppressor of mif two 3 homolog 1 (S. cerevisiae) ,2q32.2-q33,
,,,Orofacial cleft 10 [MIM:613705]
,,,
SUMO4,SMT3 suppressor of mif two 3 homolog 4 (S. cerevisiae) ,6q25,
,,,"Diabetes mellitus, insulin-dependent, 5 [MIM:600320]"
,,,
SUN2,Sad1 and UNC84 domain containing 2 ,?,
,,,mutations
,,,
SUOX,sulfite oxidase ,12,
,,,Sulfite oxidase deficiency [MIM:272300]
,,,
SUPT16H,suppressor of Ty 16 homolog (S. cerevisiae) ,?,
,,,mutations
,,,
SURF1,surfeit 1 ,9q34,
,,,"Leigh syndrome, due to COX deficiency [MIM:256000]"
,,,
SUV420H1,suppressor of variegation 4-20 homolog 1 (Drosophila) ,11q13,
,,,mutations
,,,
SUZ12,suppressor of zeste 12 homolog (Drosophila) ,17q11.2,
,,,Endometrial stromal tumors
,,,
SV2B,synaptic vesicle glycoprotein 2B ,?,
,,,mutations
,,,
SXGQTL1,Sex hormone-binding blobulin circulating level QTL 1 ,17p13,
,,,Sex hormone-binding blobulin circulating level QTL 1
,,,
SXI2,"X inactivation, familial skewed, 2 ",Xq25-q26,
,,,"X inactivation, familial skewed, 2"
,,,
SYCP3,synaptonemal complex protein 3 ,12q23,
,,,Azoospermia due to perturbations of meiosis [MIM:270960]
,,,
SYN1,synapsin I ,Xp11.4-p11.2,
,,,"Epilepsy, X-linked, with variable learning disabilities and behavior disorders [MIM:300491]"
,,,
SYN2,synapsin II ,3p25,
,,,"Schizophrenia, susceptibility to [MIM:181500]"
,,,
SYN3,synapsin III ,22q12.3,
,,,mutations
,,,
SYNE1,"spectrin repeat containing, nuclear envelope 1 ",6q25,
,,,"Spinocerebellar ataxia, autosomal recessive 8 [MIM:610743]"
,,,Emery-Dreifuss muscular dystrophy 4 [MIM:612998]
,,,
SYNE2,"spectrin repeat containing, nuclear envelope 2 ",14q23,
,,,Emery-Dreifuss muscular dystrophy 5 [MIM:612999]
,,,
SYNGAP1,synaptic Ras GTPase activating protein 1 ,6p21.3,
,,,"Mental retardation, autosomal dominant 5 [MIM:612621]"
,,,
SYNGR1,synaptogyrin 1 ,22q13,
,,,mutations
,,,
SYNM,"synemin, intermediate filament protein ",15,
,,,mutations
,,,
SYNPO,synaptopodin ,5q33.1,
,,,mutations
,,,
SYNSTH,Synesthesia ,2q24.1,
,,,Synesthesia
,,,
SYP,synaptophysin ,Xp11.23-p11.22,
,,,"Mental retardation, X-linked, with or without epilepsy [MIM:300802]"
,,,
SYT11,synaptotagmin XI ,?,
,,,mutations
,,,
SYT14,synaptotagmin XIV ,1q32.2,
,,,mutations
,,,
SYT2,synaptotagmin II ,1q,
,,,mutations
,,,
SYTL3,synaptotagmin-like 3 ,?,
,,,mutations
,,,
SYTL5,synaptotagmin-like 5 ,?,
,,,mutations
,,,
TAAR9,trace amine associated receptor 9 (gene/pseudogene) ,6q23.2,
,,,mutations
,,,
TAB2,TGF-beta activated kinase 1/MAP3K7 binding protein 2 ,6q25,
,,,"Congenital heart disease, nonsyndromic, 2 [MIM:612863]"
,,,
TAC3,tachykinin 3 ,12q13-q21,
,,,Hypogonadotropic hypogonadism [MIM:146110]
,,,
TACC3,"transforming, acidic coiled-coil containing protein 3 ",4p16.3,
,,,Bladder cancer susceptibility [MIM:109800]
,,,
TACO1,translational activator of mitochondrially encoded cytochrome c oxidase I ,17q22-q24.2,
,,,mutations
,,,
TACR3,tachykinin receptor 3 ,4q25,
,,,Hypogonadotropic hypogonadism [MIM:146110]
,,,
TACSTD2,tumor-associated calcium signal transducer 2 ,1p32,
,,,"Corneal dystrophy, gelatinous drop-like [MIM:204870]"
,,,
TAF15,"TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa ",17q11.1-q11.2,
,,,"Chondrosarcoma, extraskeletal myxoid [MIM:612237]"
,,,
TAF1C,"TATA box binding protein (TBP)-associated factor, RNA polymerase I, C, 110kDa ",16q24,
,,,mutations
,,,
TAF1L,"TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 210kDa-like ",?,
,,,mutations
,,,
TAF1,"TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa ",Xq13,
,,,"Dystonia-Parkinsonism, X-linked [MIM:314250]"
,,,
TAF2,"TAF2 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 150kDa ",?,
,,,mutations
,,,
TAF7L,"TAF7-like RNA polymerase II, TATA box binding protein (TBP)-associated factor, 50kDa ",X,
,,,mutations
,,,
TAG,tumor antigen gene ,16p,
,,,Mucolipidosis III gamma [MIM:252605]
,,,
TAL1,T-cell acute lymphocytic leukemia 1 ,1p32,
,,,"Leukemia-1, T-cell acute lymphocytic"
,,,
TAL2,T-cell acute lymphocytic leukemia 2 ,9q31,
,,,"Leukemia-2, T-cell acute lymphoblastic"
,,,
TALDO1,transaldolase 1 ,11p15.5-p15.4,
,,,Transaldolase deficiency [MIM:606003]
,,,
TAM,"Myeloproliferative syndrome, transient (transient abnormal ",21q11.2,
,,,"Leukemia, transient, of Down syndrome"
,,,
TAP1,"transporter 1, ATP-binding cassette, sub-family B (MDR/TAP) ",6p21.3,
,,,"Bare lymphocyte syndrome, type I [MIM:604571]"
,,,
TAP2,"transporter 2, ATP-binding cassette, sub-family B (MDR/TAP) ",6p21.3,
,,,"Bare lymphocyte syndrome, type I, due to TAP2 deficiency [MIM:604571]"
,,,Wegener-like granulomatosis
,,,
TAPBP,TAP binding protein (tapasin) ,6p21.3,
,,,"Bare lymphocyte syndrome, type I [MIM:604571]"
,,,
TAPVR1,total anomalous pulmonary venous return 1 ,4q12,
,,,Total anomalous pulmonary venous return
,,,
TARDBP,TAR DNA binding protein ,1p36.2,
,,,"Amyotrophic lateral sclerosis 10, with or without FTD [MIM:612069]"
,,,"Frontotemporal lobar degeneration, TARDBP-related [MIM:612069]"
,,,
TAR,Thrombocytopenia-absent radius syndrome ,1q21.1,
,,,Thrombocytopenia-absent radius syndrome
,,,
TAS1R1,"taste receptor, type 1, member 1 ",1p36,
,,,mutations
,,,
TAS1R2,"taste receptor, type 1, member 2 ",1p36,
,,,mutations
,,,
TAS1R3,"taste receptor, type 1, member 3 ",1p36.33,
,,,mutations
,,,
TAS2R16,"taste receptor, type 2, member 16 ",7q31,
,,,Alcohol dependence [MIM:103780]
,,,
TAS2R19,"taste receptor, type 2, member 19 ",?,
,,,mutations
,,,
TAS2R31,"taste receptor, type 2, member 31 ",12p13.2,
,,,mutations
,,,
TAS2R38,"taste receptor, type 2, member 38 ",7q35-q36,
,,,Phenylthiocarbamide tasting [MIM:171200]
,,,
TAS2R3,"taste receptor, type 2, member 3 ",7q31.3-q32,
,,,mutations
,,,
TAS2R43,"taste receptor, type 2, member 43 ",12p13.2,
,,,mutations
,,,
TAS2R45,"taste receptor, type 2, member 45 ",?,
,,,mutations
,,,
TAS2R46,"taste receptor, type 2, member 46 ",12p13.2,
,,,mutations
,,,
TAS2R50,"taste receptor, type 2, member 50 ",12p13.2,
,,,mutations
,,,
TAS2R9,"taste receptor, type 2, member 9 ",12p13,
,,,mutations
,,,
TAT,tyrosine aminotransferase ,16q22.1-q22.3,
,,,"Tyrosinemia, type II [MIM:277660]"
,,,
TAZ,tafazzin ,Xq28,
,,,Endocardial fibroelastosis-2
,,,Barth syndrome [MIM:302060]
,,,"Cardiomyopathy, dilated, 3A [MIM:300069]"
,,,"Left ventricular noncompaction, X-linked [MIM:300183]"
,,,
TBC1D1,"TBC1 (tre-2/USP6, BUB2, cdc16) domain family, member 1 ",4p15.1-q21,
,,,mutations
,,,
TBC1D23,"TBC1 domain family, member 23 ",?,
,,,mutations
,,,
TBC1D24,"TBC1 domain family, member 24 ",16p13.3,
,,,"Myoclonic epilepsy, infantile, familial [MIM:605021]"
,,,
TBC1D4,"TBC1 domain family, member 4 ",13q22.2,
,,,mutations
,,,
TBCE,tubulin folding cofactor E ,1q42-q43,
,,,Kenny-Caffey syndrome-1 [MIM:244460]
,,,Hypoparathyroidism-retardation-dysmorphism syndrome [MIM:241410]
,,,
TBK1,TANK-binding kinase 1 ,?,
,,,mutations
,,,
TBL1XR1,transducin (beta)-like 1 X-linked receptor 1 ,?,
,,,mutations
,,,
TBL1X,transducin (beta)-like 1X-linked ,Xp22.3,
,,,mutations
,,,
TBL1Y,"transducin (beta)-like 1, Y-linked ",Yp11.2,
,,,mutations
,,,
TBP,TATA box binding protein ,6q27,
,,,Spinocerebellar ataxia 17 [MIM:607136]
,,,"Parkinson disease, susceptibility to [MIM:168600]"
,,,
TBX10,T-box 10 ,11q13.1-q13.2,
,,,mutations
,,,
TBX15,T-box 15 ,1p13,
,,,Cousin syndrome [MIM:260660]
,,,
TBX19,T-box 19 ,1q23-q24,
,,,Adrenocorticotropic hormone deficiency [MIM:201400]
,,,
TBX1,T-box 1 ,22q11.2,
,,,Conotruncal anomaly face syndrome [MIM:217095]
,,,DiGeorge syndrome [MIM:188400]
,,,Velocardiofacial syndrome [MIM:192430]
,,,
TBX20,T-box 20 ,7p15-p14,
,,,Atrial septal defect 4 [MIM:611363]
,,,
TBX21,T-box 21 ,17q21.3,
,,,"Asthma, aspirin-induced, susceptibility to [MIM:208550]"
,,,Asthma and nasal polyps [MIM:208550]
,,,
TBX22,T-box 22 ,Xq12-q21,
,,,Cleft palate with ankyloglossia [MIM:303400]
,,,
TBX2,T-box 2 ,17q23,
,,,mutations
,,,
TBX3,T-box 3 ,12q24.1,
,,,Ulnar-mammary syndrome [MIM:181450]
,,,
TBX4,T-box 4 ,17q21-q22,
,,,Small patella syndrome [MIM:147891]
,,,
TBX5,T-box 5 ,12q24.1,
,,,Holt-Oram syndrome [MIM:142900]
,,,
TBX6,T-box 6 ,16p11.2,
,,,mutations
,,,
TBXA2R,thromboxane A2 receptor ,19p13.3,
,,,Bleeding disorder due to defective thromboxane A2 receptor
,,,
TBXAS1,thromboxane A synthase 1 (platelet) ,7q34,
,,,Thromboxane synthase deficiency
,,,Ghosal syndrome [MIM:231095]
,,,
TCAP,titin-cap (telethonin) ,17q12,
,,,"Muscular dystrophy, limb-girdle, type 2G [MIM:601954]"
,,,"Cardiomyopathy, dilated, 1N [MIM:607487]"
,,,
TCF21,transcription factor 21 ,6q23-q24,
,,,mutations
,,,
TCF3,transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47) ,19p13.3,
,,,"Leukemia, acute lymphoblastic"
,,,
TCF4,transcription factor 4 ,18q21.2,
,,,Pitt-Hopkins syndrome [MIM:610954]
,,,
TCF7L1,"transcription factor 7-like 1 (T-cell specific, HMG-box) ",?,
,,,mutations
,,,
TCF7L2,"transcription factor 7-like 2 (T-cell specific, HMG-box) ",10q25.3,
,,,"Diabetes mellitus, type 2, susceptibility to [MIM:125853]"
,,,
TCF7,"transcription factor 7 (T-cell specific, HMG-box) ",5q31.1,
,,,mutations
,,,
TCIRG1,"T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 subunit A3 ",11q13.4-q13.5,
,,,"Osteopetrosis, recessive 1 [MIM:259700]"
,,,
TCL1A,T-cell leukemia/lymphoma 1A ,14q32.1,
,,,"Leukemia/lymphoma, T-cell"
,,,
TCL1B,T-cell leukemia/lymphoma 1B ,14q32.1,
,,,"Leukemia/lymphoma, T-cell"
,,,
TCL4,T-cell leukemia/lymphoma 4 ,2q34,
,,,"Leukemia/lymphoma, T-cell"
,,,
TCN1,"transcobalamin I (vitamin B12 binding protein, R binder family) ",11q11-q12,
,,,mutations
,,,
TCN2,transcobalamin II ,22q11.2-qter,
,,,Transcobalamin II deficiency [MIM:275350]
,,,
TCOF1,Treacher Collins-Franceschetti syndrome 1 ,5q32-q33.1,
,,,Treacher Collins syndrome 1 [MIM:154500]
,,,
TCO,"Thyroid carcinoma, nonmedullary, with cell oxyphilia ",19p13.2,
,,,"Thyroid carcinoma, nonmedullary, with cell oxyphilia"
,,,
TCP1,t-complex 1 ,6q25.3-q26,
,,,mutations
,,,
TCPT,"thrombocytopenia, Paris-Trousseau type ",11q23,
,,,"Thrombocytopenia, Paris-Trousseau type"
,,,
TCTE1,t-complex-associated-testis-expressed 1 ,6p21.3-cen,
,,,mutations
,,,
TCTE3,t-complex-associated-testis-expressed 3 ,6q27,
,,,mutations
,,,
TCTN1,tectonic family member 1 ,12q24.1,
,,,mutations
,,,
TCTN2,tectonic family member 2 ,?,
,,,mutations
,,,
TDGF1,teratocarcinoma-derived growth factor 1 ,3p23-p21,
,,,Forebrain defects
,,,
TDO2,"tryptophan 2,3-dioxygenase ",4q31-q32,
,,,mutations
,,,
TDP1,tyrosyl-DNA phosphodiesterase 1 ,14q31-q32,
,,,"Spinocerebellar ataxia, autosomal recessive with axonal neuropathy [MIM:607250]"
,,,
TDRD7,tudor domain containing 7 ,?,
,,,mutations
,,,
TEAD1,TEA domain family member 1 (SV40 transcriptional enhancer factor) ,11p15.2,
,,,Sveinsson choreoretinal atrophy [MIM:108985]
,,,
TECR,"trans-2,3-enoyl-CoA reductase ",?,
,,,mutations
,,,
TECTA,tectorin alpha ,11q22-q24,
,,,"Deafness, autosomal dominant 8/12 [MIM:601543]"
,,,"Deafness, autosomal recessive 21 [MIM:603629]"
,,,
TEKT2,tektin 2 (testicular) ,?,
,,,mutations
,,,
TEK,"TEK tyrosine kinase, endothelial ",9p21,
,,,"Venous malformations, multiple cutaneous and mucosal [MIM:600195]"
,,,
TELM,"telomere length, mean leukocyte ",14q23.2,
,,,"Telomere length, mean leukocyte"
,,,
TEP1,telomerase-associated protein 1 ,14q11.2,
,,,mutations
,,,
TERC,telomerase RNA component ,3q21-q28,
,,,"Dyskeratosis congenita, autosomal dominant [MIM:127550]"
,,,Aplastic anemia [MIM:609135]
,,,"Pulmonary fibrosis, idiopathic, susceptibility to [MIM:178500]"
,,,
TERT,telomerase reverse transcriptase ,5p15.33,
,,,"Aplastic anemia, susceptibility to [MIM:609135]"
,,,"Pulmonary fibrosis,idiopathic, susceptibility to [MIM:178500]"
,,,Dyskeratosis congenita [MIM:127550]
,,,
TET1,tet methylcytosine dioxygenase 1 ,10q22,
,,,mutations
,,,
TEX14,testis expressed 14 ,17,
,,,mutations
,,,
TFAM,"transcription factor A, mitochondrial ",10q21,
,,,mutations
,,,
TFAP2A,transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha) ,6p24,
,,,Branchiooculofacial syndrome [MIM:113620]
,,,
TFAP2B,transcription factor AP-2 beta (activating enhancer binding protein 2 beta) ,6p12,
,,,Char syndrome [MIM:169100]
,,,
TFB1M,"transcription factor B1, mitochondrial ",6q25,
,,,mutations
,,,
TFCP2,transcription factor CP2 ,12q13,
,,,mutations
,,,
TFE3,transcription factor binding to IGHM enhancer 3 ,Xp11.22,
,,,"Renal cell carcinoma, papillary, 1 [MIM:605074]"
,,,
TFF1,trefoil factor 1 ,21q22.3,
,,,mutations
,,,
TFG,TRK-fused gene ,3q11-q12,
,,,"Chondrosarcoma, extraskeletal myxoid [MIM:612237]"
,,,
TFPI,tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor) ,2q31-q32.1,
,,,mutations
,,,
TFR2,transferrin receptor 2 ,7q22,
,,,"Hemochromatosis, type 3 [MIM:604250]"
,,,
TFRC,"transferrin receptor (p90, CD71) ",3q29,
,,,mutations
,,,
TF,transferrin ,3q21,
,,,Atransferrinemia [MIM:209300]
,,,
TGCT1,testicular germ cell tumor susceptibility 1 ,Xq27,
,,,Testicular germ cell tumor
,,,
TGFB1,"transforming growth factor, beta 1 ",19q13.1,
,,,Camurati-Engelmann disease [MIM:131300]
,,,"Cystic fibrosis lung disease, modifier of [MIM:219700]"
,,,
TGFB2,"transforming growth factor, beta 2 ",1q41,
,,,mutations
,,,
TGFB3,"transforming growth factor, beta 3 ",14q24,
,,,Arrhythmogenic right ventricular dysplasia 1 [MIM:107970]
,,,
TGFBI,"transforming growth factor, beta-induced, 68kDa ",5q31,
,,,"Corneal dystrophy, Groenouw type I [MIM:121900]"
,,,"Corneal dystrophy, lattice type I [MIM:122200]"
,,,"Corneal dystrophy, Reis-Bucklers type [MIM:608470]"
,,,"Corneal dystrophy, Avellino type [MIM:607541]"
,,,"Corneal dystrophy, lattice type IIIA [MIM:608471]"
,,,"Corneal dystrophy, Thiel-Behnke type [MIM:602082]"
,,,"Corneal dystrophy, epithelial basement membrane [MIM:121820]"
,,,
TGFBR1,"transforming growth factor, beta receptor 1 ",9q22,
,,,"Loeys-Dietz syndrome, type 1A [MIM:609192]"
,,,"Loeys-Dietz syndrome, type 2A [MIM:608967]"
,,,
TGFBR2,"transforming growth factor, beta receptor II (70/80kDa) ",3p22,
,,,"Colorectal cancer, hereditary nonpolyposis, type 6"
,,,"Esophageal cancer, somatic [MIM:133239]"
,,,"Loeys-Dietz syndrome, type 1B [MIM:610168]"
,,,"Loeys-Dietz syndrome, type 2B [MIM:610380]"
,,,
TGFBR3,"transforming growth factor, beta receptor III ",1p33-p32,
,,,mutations
,,,
TGFBRAP1,"transforming growth factor, beta receptor associated protein 1 ",2q12.1,
,,,mutations
,,,
TGIF1,TGFB-induced factor homeobox 1 ,18p11.3,
,,,Holoprosencephaly-4 [MIM:142946]
,,,
TGM1,"transglutaminase 1 (K polypeptide epidermal type I, protein-glutamine-gamma-glutamyltransferase) ",14q11.2,
,,,"Ichthyosis, lamellar, autosomal recessive [MIM:242300]"
,,,"Ichthyosiform erythroderma, congenital [MIM:242100]"
,,,Self-healing collodion baby [MIM:242300]
,,,
TGM2,"transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase) ",20q11.2-q12,
,,,mutations
,,,
TGM5,transglutaminase 5 ,15q15.2,
,,,"Peeling skin syndrome, acral type [MIM:609796]"
,,,
TGM6,transglutaminase 6 ,?,
,,,mutations
,,,
TG,thyroglobulin ,8q24.2-q24.3,
,,,Thyroid dyshormonogenesis 3 [MIM:274700]
,,,"Autoimmune thyroid disease, susceptibility to 3 [MIM:608175]"
,,,
THADA,thyroid adenoma associated ,2p21,
,,,mutations
,,,
THAP1,"THAP domain containing, apoptosis associated protein 1 ",8p11.21,
,,,"Dystonia 6, torsion [MIM:602629]"
,,,
THAS,thoracoabdominal syndrome ,Xq25-q26.1,
,,,Thoracoabdominal syndrome
,,,
THBD,thrombomodulin ,20p11.2,
,,,Thrombophilia due to thrombomodulin defect
,,,"Myocardial infarction, susceptibility to"
,,,"Hemolytic uremic syndrome, atypical, susceptibility to, 6 [MIM:612926]"
,,,
THBS1,thrombospondin 1 ,15q15,
,,,mutations
,,,
THBS2,thrombospondin 2 ,6q27,
,,,"Lumbar disc herniation, susceptibility to [MIM:603932]"
,,,
THBS4,thrombospondin 4 ,?,
,,,mutations
,,,
THC2,thrombocytopenia 2 (autosomal dominant) ,10p12.1,
,,,Thrombocytopenia-2 [MIM:188000]
,,,
THCYTX,"Thrombocytosis, familial X-linked ",X,
,,,"Thrombocytosis, familial X-linked"
,,,
THMA,Tibial hemimelia ,8q24.1,
,,,Tibial hemimelia
,,,
THPO,thrombopoietin ,3q26.3-q27,
,,,"Thrombocythemia, essential [MIM:187950]"
,,,
THRA,"thyroid hormone receptor, alpha ",17q11.2,
,,,"hyperthyroxinemia,euthyroidal"
,,,
THRB,"thyroid hormone receptor, beta ",3p24.3,
,,,Thyroid hormone resistance [MIM:188570]
